iter	Passed	Remaining
0	53	52949
1	53	26674
2	53	17891
3	54	13508
4	54	10870
5	54	9108
6	55	7848
7	55	6902
8	56	6168
9	56	5581
10	56	5097
11	57	4695
12	57	4356
13	57	4067
14	58	3817
15	58	3599
16	58	3404
17	59	3235
18	59	3084
19	60	2946
20	60	2822
21	60	2710
22	61	2606
23	61	2510
24	62	2422
25	62	2339
26	62	2262
27	63	2192
28	63	2127
29	63	2066
30	64	2009
31	64	1956
32	65	1906
33	65	1858
34	65	1814
35	66	1770
36	66	1730
37	66	1693
38	67	1658
39	67	1623
40	68	1590
41	68	1558
42	68	1529
43	69	1501
44	69	1473
45	69	1447
46	70	1421
47	70	1397
48	70	1374
49	71	1352
50	71	1330
51	71	1310
52	72	1290
53	72	1270
54	72	1252
55	73	1235
56	73	1218
57	73	1201
58	74	1185
59	74	1169
60	75	1155
61	75	1140
62	75	1126
63	76	1114
64	76	1101
65	76	1088
66	77	1076
67	77	1062
68	77	1050
69	78	1038
70	78	1027
71	78	1016
72	79	1005
73	79	995
74	79	985
75	80	977
76	80	967
77	81	957
78	81	948
79	81	939
80	82	931
81	82	922
82	82	914
83	83	907
84	83	897
85	83	890
86	84	881
87	84	874
88	84	867
89	85	860
90	85	853
91	85	846
92	86	839
93	86	832
94	86	826
95	87	820
96	87	814
97	87	808
98	88	802
99	88	796
100	88	791
101	89	783
102	89	777
103	89	772
104	90	767
105	90	762
106	90	757
107	91	752
108	91	747
109	91	742
110	92	738
111	92	733
112	92	728
113	93	723
114	93	719
115	93	714
116	94	709
117	94	705
118	94	700
119	94	696
120	95	692
121	95	688
122	95	683
123	96	679
124	96	675
125	96	672
126	97	668
127	97	663
128	97	660
129	98	657
130	98	653
131	98	650
132	99	646
133	99	643
134	99	639
135	100	636
136	100	633
137	100	629
138	101	626
139	101	623
140	101	620
141	102	617
142	102	614
143	102	611
144	103	608
145	103	606
146	103	603
147	104	600
148	104	598
149	105	595
150	105	592
151	105	590
152	106	587
153	106	584
154	106	582
155	107	579
156	107	577
157	107	574
158	108	572
159	108	569
160	108	567
161	109	564
162	109	562
163	109	560
164	110	557
165	110	555
166	111	553
167	111	551
168	111	549
169	112	547
170	112	545
171	112	542
172	113	540
173	113	538
174	113	536
175	114	534
176	114	532
177	114	530
178	115	528
179	115	526
180	115	523
181	116	521
182	116	519
183	116	517
184	117	515
185	117	513
186	117	511
187	118	509
188	118	507
189	118	506
190	119	504
191	119	502
192	119	500
193	120	498
194	120	497
195	120	495
196	121	493
197	121	492
198	121	490
199	122	488
200	122	487
201	122	485
202	123	484
203	123	482
204	123	480
205	124	479
206	124	477
207	125	475
208	125	474
209	125	472
210	125	471
211	126	469
212	126	467
213	126	466
214	127	464
215	127	462
216	127	461
217	128	460
218	128	458
219	129	457
220	129	456
221	129	455
222	130	454
223	130	452
224	131	451
225	131	450
226	131	449
227	132	447
228	132	446
229	132	444
230	133	443
231	133	442
232	133	440
233	134	439
234	134	438
235	134	436
236	135	435
237	135	434
238	135	432
239	136	431
240	136	430
241	137	429
242	137	427
243	137	426
244	138	425
245	138	424
246	138	422
247	139	421
248	139	420
249	139	419
250	140	418
251	140	416
252	140	415
253	141	414
254	141	413
255	141	412
256	142	411
257	142	410
258	142	409
259	143	407
260	143	406
261	144	405
262	144	404
263	144	403
264	145	402
265	145	401
266	145	400
267	146	399
268	146	398
269	146	397
270	147	396
271	147	394
272	147	393
273	148	392
274	148	391
275	148	390
276	149	389
277	149	388
278	149	387
279	150	386
280	150	385
281	151	384
282	151	383
283	151	382
284	152	381
285	152	380
286	152	379
287	153	379
288	153	378
289	154	377
290	154	376
291	154	375
292	155	374
293	155	373
294	155	372
295	156	371
296	156	370
297	156	369
298	157	368
299	157	367
300	157	366
301	158	365
302	158	364
303	158	363
304	159	362
305	159	361
306	159	360
307	160	360
308	160	359
309	160	358
310	161	357
311	161	356
312	162	355
313	162	354
314	162	353
315	163	352
316	163	352
317	163	351
318	164	350
319	164	349
320	164	348
321	165	347
322	165	346
323	165	346
324	166	345
325	166	344
326	166	343
327	167	342
328	167	341
329	168	341
330	168	340
331	168	339
332	169	338
333	169	337
334	169	337
335	170	336
336	170	335
337	171	335
338	172	335
339	172	334
340	172	334
341	173	333
342	173	332
343	173	331
344	174	331
345	175	330
346	175	330
347	175	329
348	176	329
349	176	328
350	177	328
351	177	327
352	178	327
353	179	326
354	179	326
355	180	325
356	180	325
357	180	324
358	181	323
359	181	322
360	181	321
361	182	320
362	182	319
363	182	319
364	182	318
365	183	317
366	183	316
367	183	315
368	184	314
369	184	314
370	184	313
371	185	312
372	185	311
373	185	310
374	185	309
375	186	309
376	186	308
377	186	307
378	187	306
379	187	305
380	187	304
381	188	304
382	188	303
383	189	303
384	189	303
385	190	302
386	190	301
387	190	300
388	191	300
389	191	299
390	191	298
391	192	297
392	192	297
393	192	296
394	192	295
395	193	294
396	193	293
397	193	293
398	194	292
399	194	292
400	195	291
401	195	290
402	195	290
403	196	289
404	196	288
405	196	287
406	196	286
407	197	286
408	197	285
409	197	284
410	198	283
411	198	283
412	198	282
413	198	281
414	199	280
415	199	280
416	199	279
417	200	278
418	200	277
419	200	277
420	201	276
421	201	275
422	201	275
423	202	274
424	202	273
425	202	273
426	202	272
427	203	271
428	203	270
429	203	270
430	204	269
431	204	268
432	204	268
433	205	267
434	205	266
435	205	266
436	206	265
437	206	265
438	207	264
439	207	263
440	207	263
441	207	262
442	208	261
443	208	261
444	209	260
445	209	260
446	209	259
447	210	258
448	210	258
449	210	257
450	211	256
451	211	256
452	211	255
453	211	254
454	212	254
455	212	253
456	212	252
457	213	252
458	213	251
459	213	250
460	213	250
461	214	249
462	214	248
463	214	248
464	215	247
465	215	246
466	215	246
467	215	245
468	216	244
469	216	244
470	216	243
471	217	242
472	217	242
473	217	241
474	217	240
475	218	240
476	218	239
477	218	239
478	219	238
479	219	237
480	219	237
481	220	236
482	220	236
483	220	235
484	221	234
485	221	234
486	221	233
487	222	232
488	222	232
489	222	231
490	223	231
491	223	230
492	223	229
